frase_idx,token,NOUN,VERB,ADJ,ADV,CCONJ,DET,NUM,PUNCT,PRON,ADP,segmenta,frase_len_token,frase_len_char,token_len_char,distanza_da_prima_parola
1,Una,0,0,0,0,0,1,0,0,0,0,0,3,22,3,0
1,notizia,1,0,0,0,0,0,0,0,0,0,0,3,22,7,1
1,importante,0,0,1,0,0,0,0,0,0,0,0,3,22,10,2
2,Un,0,0,0,0,0,1,0,0,0,0,0,5,28,2,0
2,accordo,1,0,0,0,0,0,0,0,0,0,0,5,28,7,1
2,sui,0,0,0,0,0,0,0,0,0,1,0,5,28,3,2
2,soldi,1,0,0,0,0,0,0,0,0,0,0,5,28,5,3
2,europei,0,0,1,0,0,0,0,0,0,0,0,5,28,7,4
3,L’,0,0,0,0,0,1,0,0,0,0,0,20,96,2,0
3,Italia,0,0,0,0,0,0,0,0,0,0,0,20,96,6,1
3,e,0,0,0,0,1,0,0,0,0,0,0,20,96,1,2
3,gli,0,0,0,0,0,1,0,0,0,0,0,20,96,3,3
3,altri,0,0,1,0,0,0,0,0,0,0,0,20,96,5,4
3,Paesi,1,0,0,0,0,0,0,0,0,0,0,20,96,5,5
3,si,0,0,0,0,0,0,0,0,1,0,0,20,96,2,6
3,sono,0,1,0,0,0,0,0,0,0,0,0,20,96,4,7
3,messi,0,1,0,0,0,0,0,0,0,0,0,20,96,5,8
3,d’,0,0,0,0,0,0,0,0,0,1,0,20,96,2,9
3,accordo,1,0,0,0,0,0,0,0,0,0,1,20,96,7,10
3,per,0,0,0,0,0,0,0,0,0,1,0,20,96,3,11
3,usare,0,1,0,0,0,0,0,0,0,0,0,20,96,5,12
3,meglio,0,0,0,1,0,0,0,0,0,0,0,20,96,6,13
3,i,0,0,0,0,0,1,0,0,0,0,0,20,96,1,14
3,soldi,1,0,0,0,0,0,0,0,0,0,0,20,96,5,15
3,dell’,0,0,0,0,0,0,0,0,0,1,0,20,96,5,16
3,Europa,0,0,0,0,0,0,0,0,0,0,0,20,96,6,17
3,nel,0,0,0,0,0,0,0,0,0,1,0,20,96,3,18
3,2015,0,0,0,0,0,0,1,0,0,0,0,20,96,4,19
4,I,0,0,0,0,0,1,0,0,0,0,0,15,79,1,0
4,ministri,1,0,0,0,0,0,0,0,0,0,0,15,79,8,1
4,dell’,0,0,0,0,0,0,0,0,0,1,0,15,79,5,2
4,economia,1,0,0,0,0,0,0,0,0,0,0,15,79,8,3
4,sono,0,1,0,0,0,0,0,0,0,0,0,15,79,4,4
4,persone,1,0,0,0,0,0,0,0,0,0,0,15,79,7,5
4,che,0,0,0,0,0,0,0,0,1,0,0,15,79,3,6
4,si,0,0,0,0,0,0,0,0,1,0,0,15,79,2,7
4,occupano,0,1,0,0,0,0,0,0,0,0,0,15,79,8,8
4,dei,0,0,0,0,0,0,0,0,0,1,0,15,79,3,9
4,soldi,1,0,0,0,0,0,0,0,0,0,0,15,79,5,10
4,dei,0,0,0,0,0,0,0,0,0,1,0,15,79,3,11
4,loro,0,0,0,0,0,1,0,0,0,0,0,15,79,4,12
4,Stati,1,0,0,0,0,0,0,0,0,0,0,15,79,5,13
4,.,0,0,0,0,0,0,0,1,0,0,0,15,79,1,14
5,Il,0,0,0,0,0,1,0,0,0,0,0,11,63,2,0
5,ministro,1,0,0,0,0,0,0,0,0,0,0,11,63,8,1
5,dell’,0,0,0,0,0,0,0,0,0,1,0,11,63,5,2
5,economia,1,0,0,0,0,0,0,0,0,0,0,11,63,8,3
5,italiano,0,0,1,0,0,0,0,0,0,0,0,11,63,8,4
5,si,0,0,0,0,0,0,0,0,1,0,0,11,63,2,5
5,chiama,0,1,0,0,0,0,0,0,0,0,0,11,63,6,6
5,Pier,0,0,0,0,0,0,0,0,0,0,0,11,63,4,7
5,Carlo,0,0,0,0,0,0,0,0,0,0,0,11,63,5,8
5,Padoan,0,0,0,0,0,0,0,0,0,0,0,11,63,6,9
5,.,0,0,0,0,0,0,0,1,0,0,0,11,63,1,10
6,Tutti,0,0,0,0,0,1,0,0,0,0,0,24,120,5,0
6,i,0,0,0,0,0,1,0,0,0,0,0,24,120,1,1
6,ministri,1,0,0,0,0,0,0,0,0,0,0,24,120,8,2
6,dell’,0,0,0,0,0,0,0,0,0,1,0,24,120,5,3
6,economia,1,0,0,0,0,0,0,0,0,0,0,24,120,8,4
6,dei,0,0,0,0,0,0,0,0,0,1,0,24,120,3,5
6,Paesi,1,0,0,0,0,0,0,0,0,0,0,24,120,5,6
6,dell’,0,0,0,0,0,0,0,0,0,1,0,24,120,5,7
6,Europa,0,0,0,0,0,0,0,0,0,0,1,24,120,6,8
6,si,0,0,0,0,0,0,0,0,1,0,0,24,120,2,9
6,sono,0,1,0,0,0,0,0,0,0,0,0,24,120,4,10
6,messi,0,1,0,0,0,0,0,0,0,0,0,24,120,5,11
6,d’,0,0,0,0,0,0,0,0,0,1,0,24,120,2,12
6,accordo,1,0,0,0,0,0,0,0,0,0,0,24,120,7,13
6,su,0,0,0,1,0,0,0,0,0,0,0,24,120,2,14
6,come,0,0,0,0,1,0,0,0,0,0,0,24,120,4,15
6,usare,0,1,0,0,0,0,0,0,0,0,0,24,120,5,16
6,i,0,0,0,0,0,1,0,0,0,0,0,24,120,1,17
6,soldi,1,0,0,0,0,0,0,0,0,0,0,24,120,5,18
6,degli,0,0,0,0,0,0,0,0,0,1,0,24,120,5,19
6,Stati,1,0,0,0,0,0,0,0,0,0,0,24,120,5,20
6,nel,0,0,0,0,0,0,0,0,0,1,0,24,120,3,21
6,2015,0,0,0,0,0,0,1,0,0,0,0,24,120,4,22
6,.,0,0,0,0,0,0,0,1,0,0,0,24,120,1,23
7,Grazie,1,0,0,0,0,0,0,0,0,0,0,15,78,6,0
7,a,0,0,0,0,0,0,0,0,0,1,0,15,78,1,1
7,questo,0,0,0,0,0,1,0,0,0,0,0,15,78,6,2
7,accordo,1,0,0,0,0,0,0,0,0,0,0,15,78,7,3
7,i,0,0,0,0,0,1,0,0,0,0,0,15,78,1,4
7,Paesi,1,0,0,0,0,0,0,0,0,0,0,15,78,5,5
7,dell’,0,0,0,0,0,0,0,0,0,1,0,15,78,5,6
7,Europa,0,0,0,0,0,0,0,0,0,0,1,15,78,6,7
7,possono,0,1,0,0,0,0,0,0,0,0,0,15,78,7,8
7,pagare,0,1,0,0,0,0,0,0,0,0,0,15,78,6,9
7,le,0,0,0,0,0,1,0,0,0,0,0,15,78,2,10
7,spese,1,0,0,0,0,0,0,0,0,0,0,15,78,5,11
7,già,0,0,0,1,0,0,0,0,0,0,0,15,78,3,12
7,fatte,0,1,0,0,0,0,0,0,0,0,0,15,78,5,13
7,.,0,0,0,0,0,0,0,1,0,0,0,15,78,1,14
8,Ci,0,0,0,0,0,0,0,0,1,0,0,21,103,2,0
8,saranno,0,1,0,0,0,0,0,0,0,0,0,21,103,7,1
8,anche,0,0,0,1,0,0,0,0,0,0,0,21,103,5,2
8,i,0,0,0,0,0,1,0,0,0,0,0,21,103,1,3
8,soldi,1,0,0,0,0,0,0,0,0,0,0,21,103,5,4
8,per,0,0,0,0,0,0,0,0,0,1,0,21,103,3,5
8,fare,0,1,0,0,0,0,0,0,0,0,0,21,103,4,6
8,tante,0,0,0,0,0,1,0,0,0,0,0,21,103,5,7
8,cose,1,0,0,0,0,0,0,0,0,0,0,21,103,4,8
8,utili,0,0,1,0,0,0,0,0,0,0,1,21,103,5,9
8,e,0,0,0,0,1,0,0,0,0,0,0,21,103,1,10
8,fare,0,1,0,0,0,0,0,0,0,0,0,21,103,4,11
8,stare,0,1,0,0,0,0,0,0,0,0,0,21,103,5,12
8,meglio,0,0,0,1,0,0,0,0,0,0,0,21,103,6,13
8,le,0,0,0,0,0,1,0,0,0,0,0,21,103,2,14
8,persone,1,0,0,0,0,0,0,0,0,0,0,21,103,7,15
8,che,0,0,0,0,0,0,0,0,1,0,0,21,103,3,16
8,vivono,0,1,0,0,0,0,0,0,0,0,0,21,103,6,17
8,in,0,0,0,0,0,0,0,0,0,1,0,21,103,2,18
8,Europa,0,0,0,0,0,0,0,0,0,0,0,21,103,6,19
8,.,0,0,0,0,0,0,0,1,0,0,0,21,103,1,20
9,Queste,0,0,0,0,0,1,0,0,0,0,0,9,51,6,0
9,notizie,1,0,0,0,0,0,0,0,0,0,0,9,51,7,1
9,parlano,0,1,0,0,0,0,0,0,0,0,0,9,51,7,2
9,di,0,0,0,0,0,0,0,0,0,1,0,9,51,2,3
9,cose,1,0,0,0,0,0,0,0,0,0,0,9,51,4,4
9,che,0,0,0,0,0,0,0,0,1,0,0,9,51,3,5
9,fanno,0,1,0,0,0,0,0,0,0,0,0,9,51,5,6
9,le,0,0,0,0,0,1,0,0,0,0,0,9,51,2,7
9,persone,1,0,0,0,0,0,0,0,0,0,0,9,51,7,8
10,La,0,0,0,0,0,1,0,0,0,0,0,4,18,2,0
10,moda,1,0,0,0,0,0,0,0,0,0,0,4,18,4,1
10,del,0,0,0,0,0,0,0,0,0,1,0,4,18,3,2
10,selfie,0,0,0,0,0,0,0,0,0,0,0,4,18,6,3
11,Sempre,0,0,0,1,0,0,0,0,0,0,0,9,43,6,0
11,più,0,0,0,1,0,0,0,0,0,0,0,9,43,3,1
11,persone,1,0,0,0,0,0,0,0,0,0,0,9,43,7,2
11,si,0,0,0,0,0,0,0,0,1,0,0,9,43,2,3
11,fanno,0,1,0,0,0,0,0,0,0,0,0,9,43,5,4
11,le,0,0,0,0,0,1,0,0,0,0,0,9,43,2,5
11,foto,1,0,0,0,0,0,0,0,0,0,0,9,43,4,6
11,da,0,0,0,0,0,0,0,0,0,1,0,9,43,2,7
11,sole,1,0,0,0,0,0,0,0,0,0,0,9,43,4,8
12,A,0,0,0,0,0,0,0,0,0,1,0,12,61,1,0
12,molte,0,0,0,0,0,1,0,0,0,0,0,12,61,5,1
12,persone,1,0,0,0,0,0,0,0,0,0,0,12,61,7,2
12,piace,0,1,0,0,0,0,0,0,0,0,0,12,61,5,3
12,farsi,0,1,0,0,0,0,0,0,0,0,0,12,61,5,4
12,le,0,0,0,0,0,1,0,0,0,0,0,12,61,2,5
12,foto,1,0,0,0,0,0,0,0,0,0,0,12,61,4,6
12,con,0,0,0,0,0,0,0,0,0,1,0,12,61,3,7
12,i,0,0,0,0,0,1,0,0,0,0,0,12,61,1,8
12,telefoni,1,0,0,0,0,0,0,0,0,0,0,12,61,8,9
12,cellulari,0,0,1,0,0,0,0,0,0,0,0,12,61,9,10
12,.,0,0,0,0,0,0,0,1,0,0,0,12,61,1,11
13,Farsi,0,1,0,0,0,0,0,0,0,0,0,1,5,5,0
14,le,0,0,0,0,0,1,0,0,0,0,0,10,42,2,0
14,foto,1,0,0,0,0,0,0,0,0,0,0,10,42,4,1
14,da,0,0,0,0,0,0,0,0,0,1,0,10,42,2,2
14,soli,0,0,1,0,0,0,0,0,0,0,0,10,42,4,3
14,in,0,0,0,0,0,0,0,0,0,1,0,10,42,2,4
14,inglese,1,0,0,0,0,0,0,0,0,0,0,10,42,7,5
14,si,0,0,0,0,0,0,0,0,1,0,0,10,42,2,6
14,dice,0,1,0,0,0,0,0,0,0,0,0,10,42,4,7
14,selfie,0,0,0,0,0,0,0,0,0,0,0,10,42,6,8
14,.,0,0,0,0,0,0,0,1,0,0,0,10,42,1,9
15,Farsi,0,1,0,0,0,0,0,0,0,0,0,9,33,5,0
15,le,0,0,0,0,0,1,0,0,0,0,0,9,33,2,1
15,foto,1,0,0,0,0,0,0,0,0,0,0,9,33,4,2
15,da,0,0,0,0,0,0,0,0,0,1,0,9,33,2,3
15,soli,0,0,1,0,0,0,0,0,0,0,0,9,33,4,4
15,è,0,1,0,0,0,0,0,0,0,0,0,9,33,1,5
15,una,0,0,0,0,0,1,0,0,0,0,0,9,33,3,6
15,moda,1,0,0,0,0,0,0,0,0,0,0,9,33,4,7
15,.,0,0,0,0,0,0,0,1,0,0,0,9,33,1,8
16,Oggi,0,0,0,1,0,0,0,0,0,0,0,6,26,4,0
16,lo,0,0,0,0,0,0,0,0,1,0,0,6,26,2,1
16,fanno,0,1,0,0,0,0,0,0,0,0,0,6,26,5,2
16,quasi,0,0,0,1,0,0,0,0,0,0,0,6,26,5,3
16,tutti,0,0,0,0,0,0,0,0,1,0,0,6,26,5,4
16,.,0,0,0,0,0,0,0,1,0,0,0,6,26,1,5
17,Dopo,0,0,0,0,1,0,0,0,0,0,0,21,104,4,0
17,aver,0,1,0,0,0,0,0,0,0,0,0,21,104,4,1
17,fatto,0,1,0,0,0,0,0,0,0,0,0,21,104,5,2
17,le,0,0,0,0,0,1,0,0,0,0,0,21,104,2,3
17,foto,1,0,0,0,0,0,0,0,0,0,0,21,104,4,4
17,",",0,0,0,0,0,0,0,1,0,0,0,21,104,1,5
17,le,0,0,0,0,0,1,0,0,0,0,0,21,104,2,6
17,persone,1,0,0,0,0,0,0,0,0,0,0,21,104,7,7
17,le,0,0,0,0,0,0,0,0,1,0,0,21,104,2,8
17,mettono,0,1,0,0,0,0,0,0,0,0,0,21,104,7,9
