frase_idx,token,NOUN,VERB,ADJ,ADV,CCONJ,DET,NUM,PUNCT,PRON,ADP,segmenta,frase_len_token,frase_len_char,token_len_char,distanza_da_prima_parola
2,Un,0,0,0,0,0,1,0,0,0,0,0,5,28,2,0
2,accordo,1,0,0,0,0,0,0,0,0,0,0,5,28,7,1
2,sui,0,0,0,0,0,0,0,0,0,1,0,5,28,3,2
2,soldi,1,0,0,0,0,0,0,0,0,0,0,5,28,5,3
2,europei,0,0,1,0,0,0,0,0,0,0,0,5,28,7,4
3,L’,0,0,0,0,0,1,0,0,0,0,0,20,96,2,0
3,Italia,0,0,0,0,0,0,0,0,0,0,0,20,96,6,1
3,e,0,0,0,0,1,0,0,0,0,0,0,20,96,1,2
3,gli,0,0,0,0,0,1,0,0,0,0,0,20,96,3,3
3,altri,0,0,1,0,0,0,0,0,0,0,0,20,96,5,4
3,Paesi,1,0,0,0,0,0,0,0,0,0,0,20,96,5,5
3,si,0,0,0,0,0,0,0,0,1,0,0,20,96,2,6
3,sono,0,1,0,0,0,0,0,0,0,0,0,20,96,4,7
3,messi,0,1,0,0,0,0,0,0,0,0,0,20,96,5,8
3,d’,0,0,0,0,0,0,0,0,0,1,0,20,96,2,9
3,accordo,1,0,0,0,0,0,0,0,0,0,1,20,96,7,10
3,per,0,0,0,0,0,0,0,0,0,1,0,20,96,3,11
3,usare,0,1,0,0,0,0,0,0,0,0,0,20,96,5,12
3,meglio,0,0,0,1,0,0,0,0,0,0,0,20,96,6,13
3,i,0,0,0,0,0,1,0,0,0,0,0,20,96,1,14
3,soldi,1,0,0,0,0,0,0,0,0,0,0,20,96,5,15
3,dell’,0,0,0,0,0,0,0,0,0,1,0,20,96,5,16
3,Europa,0,0,0,0,0,0,0,0,0,0,0,20,96,6,17
3,nel,0,0,0,0,0,0,0,0,0,1,0,20,96,3,18
3,2015,0,0,0,0,0,0,1,0,0,0,0,20,96,4,19
4,I,0,0,0,0,0,1,0,0,0,0,0,15,79,1,0
4,ministri,1,0,0,0,0,0,0,0,0,0,0,15,79,8,1
4,dell’,0,0,0,0,0,0,0,0,0,1,0,15,79,5,2
4,economia,1,0,0,0,0,0,0,0,0,0,0,15,79,8,3
4,sono,0,1,0,0,0,0,0,0,0,0,0,15,79,4,4
4,persone,1,0,0,0,0,0,0,0,0,0,0,15,79,7,5
4,che,0,0,0,0,0,0,0,0,1,0,0,15,79,3,6
4,si,0,0,0,0,0,0,0,0,1,0,0,15,79,2,7
4,occupano,0,1,0,0,0,0,0,0,0,0,0,15,79,8,8
4,dei,0,0,0,0,0,0,0,0,0,1,0,15,79,3,9
4,soldi,1,0,0,0,0,0,0,0,0,0,0,15,79,5,10
4,dei,0,0,0,0,0,0,0,0,0,1,0,15,79,3,11
4,loro,0,0,0,0,0,1,0,0,0,0,0,15,79,4,12
4,Stati,1,0,0,0,0,0,0,0,0,0,0,15,79,5,13
4,.,0,0,0,0,0,0,0,1,0,0,0,15,79,1,14
